what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1237752860234
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1237752860234
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1237752860234
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.pde.ui,1237752860234
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1237752860234
stopped,bundle,org.eclipse.ajdt.examples,1.6.1.20081104192500,org.eclipse.ajdt.examples,1237752860234
stopped,bundle,org.eclipse.ajdt.mylyn.ui,1.6.1.20081104192500,org.eclipse.ajdt.mylyn.ui,1237752860250
stopped,bundle,org.eclipse.ajdt.ui,1.6.1.20081104192500,org.eclipse.ajdt.ui,1237752860250
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1237752860250
stopped,bundle,org.eclipse.datatools.connectivity.ui.templates,1.0.0.v200805152355,org.eclipse.datatools.connectivity.ui.templates,1237752860250
stopped,bundle,org.eclipse.pde.ui.templates,3.4.0.v20080514-1500,org.eclipse.pde.ui.templates,1237752860250
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen.edit,1237752860250
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.8.0.v200806112132,org.eclipse.uml2.diagram.codegen,1237752860250
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.0.v20080512-1200,org.eclipse.gmf.codegen.ui,1237752860250
stopped,bundle,org.eclipse.tptp.test.tools.junit.plugin.doc.user,4.5.1.v200807310709,org.eclipse.tptp.test.tools.junit.plugin.doc.user,1237752860250
stopped,bundle,org.eclipse.tptp.test.tools.junit.plugin,4.4.200.v200808080100,org.eclipse.tptp.test.tools.junit.plugin,1237752860250
stopped,bundle,org.eclipse.hyades.test.tools.ui,4.5.1.v200808080100,org.eclipse.hyades.test.tools.ui,1237752860250
stopped,bundle,org.eclipse.hyades.test.ui.extensions,4.4.1.v200808080100,org.eclipse.hyades.test.ui.extensions,1237752860250
stopped,bundle,org.eclipse.tptp.test.recorders.url,4.5.0.v200805120832,org.eclipse.tptp.test.recorders.url,1237752860250
stopped,bundle,org.eclipse.tptp.test.samples,4.2.100.v200805310100,org.eclipse.tptp.test.samples,1237752860250
stopped,bundle,org.eclipse.hyades.test.ui,4.2.600.v200809151742,org.eclipse.hyades.test.ui,1237752860265
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.editor.ui,1237752860265
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.ui,1237752860265
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1237752860265
stopped,bundle,org.eclipse.tptp.monitoring.instrumentation.ui,4.4.100.v200806120100,org.eclipse.tptp.monitoring.instrumentation.ui,1237752860265
