what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.gmf.codegen.edit,2.1.0.v20080718-1700,org.eclipse.gmf.codegen.edit,1237752838230
stopped,bundle,org.eclipse.gmf.codegen,2.1.1.v20080716-1600,org.eclipse.gmf.codegen,1237752838230
stopped,bundle,org.eclipse.gmf.graphdef.codegen,2.0.100.v20080528-1052,org.eclipse.gmf.graphdef.codegen,1237752838246
stopped,bundle,org.eclipse.gmf.map.edit,2.1.0.v20080716-1600,org.eclipse.gmf.map.edit,1237752838246
stopped,bundle,org.eclipse.gmf.graphdef.edit,2.0.100.v20080610-1132,org.eclipse.gmf.graphdef.edit,1237752838246
stopped,bundle,org.eclipse.gmf.map,2.1.0.v20080521,org.eclipse.gmf.map,1237752838261
stopped,bundle,org.eclipse.gmf.tooldef.edit,2.0.0.v20080610-1132,org.eclipse.gmf.tooldef.edit,1237752838261
stopped,bundle,org.eclipse.gmf.tooldef,2.0.0.v20080417-1610,org.eclipse.gmf.tooldef,1237752838261
stopped,bundle,org.eclipse.gmf.common,1.1.1.v20080610-1132,org.eclipse.gmf.common,1237752838261
stopped,bundle,org.eclipse.hyades.probekit.ui,4.1.400.v200807310709,org.eclipse.hyades.probekit.ui,1237752838261
stopped,bundle,org.eclipse.hyades.trace.sample,4.1.301.v200802290100,org.eclipse.hyades.trace.sample,1237752838261
stopped,bundle,org.eclipse.tptp.monitoring.examples,4.5.0.v200805120832,org.eclipse.tptp.monitoring.examples,1237752838261
stopped,bundle,org.eclipse.tptp.monitoring.lta.examples,4.5.0.v200805132041,org.eclipse.tptp.monitoring.lta.examples,1237752838261
stopped,bundle,org.eclipse.hyades.ui,4.2.201.v200808080100,org.eclipse.hyades.ui,1237752838261
stopped,bundle,org.eclipse.jet.editor,0.9.0.v20080226,org.eclipse.jet.editor,1237752838261
stopped,bundle,org.eclipse.contribution.visualiser,2.2.0.20081104192500,org.eclipse.contribution.visualiser,1237752838261
stopped,bundle,org.eclipse.contribution.xref.ui,1.6.1.20081104192500,org.eclipse.contribution.xref.ui,1237752838261
stopped,bundle,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui,1237752838402
stopped,bundle,org.eclipse.rse.importexport,1.1.0.v20080604,org.eclipse.rse.importexport,1237752838402
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.1.0.v20080604,org.eclipse.rse.subsystems.shells.telnet,1237752838418
stopped,bundle,org.eclipse.rse.shells.ui,3.0.1.v20080710,org.eclipse.rse.shells.ui,1237752838418
stopped,bundle,org.eclipse.rse.files.ui,3.0.1.v200809171600,org.eclipse.rse.files.ui,1237752838418
stopped,bundle,org.eclipse.rse.processes.ui,3.0.1.v20080714,org.eclipse.rse.processes.ui,1237752838418
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1237752838418
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.102.v200809101946,org.eclipse.wst.wsdl.ui,1237752838418
