what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.hyades.test.ui,4.2.600.v200809151742,org.eclipse.hyades.test.ui,1237752838058
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.editor.ui,1237752838058
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,1.0.1.v20080917-1645,org.eclipse.m2m.qvt.oml.ui,1237752838058
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1237752838058
stopped,bundle,org.eclipse.tptp.monitoring.instrumentation.ui,4.4.100.v200806120100,org.eclipse.tptp.monitoring.instrumentation.ui,1237752838058
stopped,bundle,org.eclipse.tptp.trace.arm.ui,4.3.100.v200806120100,org.eclipse.tptp.trace.arm.ui,1237752838058
stopped,bundle,org.eclipse.tptp.platform.instrumentation.ui,4.3.100.v200806120100,org.eclipse.tptp.platform.instrumentation.ui,1237752838058
stopped,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.201.v200807310709,org.eclipse.tptp.platform.profile.server.wst,1237752838058
stopped,bundle,org.eclipse.tptp.platform.profile.server.core,4.2.101.v200808070100,org.eclipse.tptp.platform.profile.server.core,1237752838058
stopped,bundle,org.eclipse.tptp.platform.jvmti.client,4.4.100.v200806120100,org.eclipse.tptp.platform.jvmti.client,1237752838074
stopped,bundle,org.eclipse.tptp.platform.integration.pde,4.4.1.v200805120832,org.eclipse.tptp.platform.integration.pde,1237752838074
stopped,bundle,org.eclipse.pde.ui,3.4.0.v20080803-1700,org.eclipse.pde.ui,1237752838090
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.ide.ant,1237752838090
stopped,bundle,org.eclipse.ant.ui,3.3.0.v20080529,org.eclipse.ant.ui,1237752838090
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1237752838105
stopped,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1237752838105
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.java.tasks,1237752838121
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.3.v20081015-1500-e3x,org.eclipse.mylyn.java.ui,1237752838121
stopped,bundle,org.eclipse.tptp.trace.jvmti.client,4.4.200.v200807310709,org.eclipse.tptp.trace.jvmti.client,1237752838121
stopped,bundle,org.eclipse.hyades.trace.views,4.1.502.v200807310709,org.eclipse.hyades.trace.views,1237752838121
stopped,bundle,org.eclipse.tptp.monitoring.managedagent.jmx,4.4.1.v200805120832,org.eclipse.tptp.monitoring.managedagent.jmx,1237752838121
stopped,bundle,org.eclipse.tptp.monitoring.managedagent.ui,4.4.100.v200804110100,org.eclipse.tptp.monitoring.managedagent.ui,1237752838121
stopped,bundle,org.eclipse.tptp.monitoring.managedagent,4.4.100.v200805120832,org.eclipse.tptp.monitoring.managedagent,1237752838121
stopped,bundle,org.eclipse.tptp.platform.probekit.launch,4.4.100.v200804110100,org.eclipse.tptp.platform.probekit.launch,1237752838121
stopped,bundle,org.eclipse.tptp.platform.report.birt.ui,4.4.101.v200808080100,org.eclipse.tptp.platform.report.birt.ui,1237752838121
